theme_name,discussion_id,challenge,confidence_score,justification,multi_theme_mapped
School Infrastructure and Facility Issues,3179,"The school in the village has closed, forcing children to attend private schools.",0.85,"The closure of the village school represents a systemic infrastructure gap in the public education system, forcing families to seek alternative schooling options, which aligns with Theme 6's focus on institutional and facility-related barriers.",FALSE
School Infrastructure and Facility Issues,924,The education environment is not good,0.65,"The phrase 'education environment is not good' refers to poor learning conditions and school environment, which aligns with infrastructure and facility gaps that affect the quality of schooling.",FALSE
Parental Attitudes and Socio-Cultural Barriers,911,"Muslims have been made to understand that Hindi is the national language and it is compulsory to study it, which could be a challenge for those who prefer Urdu.",0.8,This challenge reflects cultural and linguistic preferences within a community that create barriers to education. The phrase 'Muslims have been made to understand' and 'challenge for those who prefer Urdu' indicates socio-cultural factors affecting educational participation based on community beliefs and language preferences.,FALSE
Poverty and Economic Barriers,943,A sister is saying how will I educate my three daughters?,0.75,"The statement expresses concern about inability to educate daughters, which implies financial constraints and economic hardship preventing access to education.",FALSE
Parental Attitudes and Socio-Cultural Barriers,933,parents don't pay attention to kids,0.85,"The statement 'parents don't pay attention to kids' reflects parental attitudes and lack of engagement in children's education, which aligns with socio-cultural barriers where parental mindset affects educational outcomes.",FALSE
Poverty and Economic Barriers,966,Lack of education among adolescent girls due to various socio-economic factors and lack of access to quality educational resources,0.75,The phrase 'socio-economic factors' directly indicates economic and poverty-related barriers affecting girls' education.,TRUE
School Infrastructure and Facility Issues,986,"The community lacks coaching centres, making it difficult for students to get proper guidance and support.",0.85,"The statement mentions 'lacks coaching centres' and 'difficult for students to get proper guidance and support', which relates to gaps in educational resources and support systems available to students in the community.",FALSE
Poverty and Economic Barriers,987,"Due to inflation and lack of money, education of children of poor people is hindered.",0.95,"The statement explicitly mentions 'lack of money' and 'poor people' as barriers to education, directly linking financial hardship to educational challenges, which is the core definition of Theme 1.",FALSE
Unknown/Unclear,20449,"Seema Devi said, Didi, we do not want our child to go out of the house due to his ill health.",0.75,"The statement contains a personal name 'Seema Devi' and mentions generic health/illness without specifics about the nature of the illness or how it specifically affects education, making it too vague to classify into a specific educational barrier theme.",FALSE
Early Marriage,995,Love marriage at a young age and elopement,0.9,"Marriage at a young age, whether arranged or love marriage, prevents continuation of education and fits the early marriage barrier definition.",FALSE
Parental Attitudes and Socio-Cultural Barriers,1037,Parents don't want their children to study,0.95,"The phrase 'Parents don't want their children to study' directly indicates parental beliefs and attitudes that discourage education, which is a core element of Theme 5.",FALSE
Legal Document linked Barriers,1036,The children do not have birth certificates and their Aadhaar cards have not been made.,1,The statement explicitly mentions missing legal documents - 'birth certificates' and 'Aadhaar cards have not been made' - which are administrative barriers preventing school enrollment.,FALSE
Parental Attitudes and Socio-Cultural Barriers,1022,"Girls are made for household work, what will they do by studying more?",1,"The statement clearly demonstrates traditional gender-based beliefs that prioritize domestic roles for girls over education, reflecting cultural norms that discourage girls from pursuing studies.",FALSE
Safety Concerns,1023,A sister told that her daughter was raped by a blessed man.,0.95,"This describes a serious safety and security issue involving violence against a child, which directly impacts school attendance due to safety concerns and trauma.",FALSE
Unknown/Unclear,21067,Reasons to visit Bhattata,0.95,This statement is only 4 words and does not specify any educational barrier. It is vague and unclear how visiting Bhattata relates to children's education challenges.,FALSE
Parental Attitudes and Socio-Cultural Barriers,1091,"People of the community educate their children till seventh-eighth standard and say that what will they do by studying further, they will have to do nothing except sweeping and mopping after going to their in-laws' house",0.95,This statement reflects cultural beliefs and parental attitudes that girls do not need education beyond basic levels because they will only perform domestic duties after marriage. The phrase 'what will they do by studying further' and 'sweeping and mopping after going to their in-laws' house' clearly indicates socio-cultural barriers that limit girls' educational opportunities based on traditional gender roles.,FALSE
Poverty and Economic Barriers,1085,Some parents said my daughter will not study now because I don't have money,0.95,"The statement explicitly mentions 'I don't have money' as the reason for not continuing the daughter's education, which directly indicates financial hardship preventing schooling.",FALSE
Teacher Capacity and Quality Issues,1101,there is a shortage of teachers in the school,1,"The phrase 'shortage of teachers' directly indicates insufficient teaching staff, which is a core example of teacher capacity issues affecting the learning environment.",FALSE
Safety Concerns,1080,"Girls fall in love while studying and marry of their own free will without informing their parents which brings us a bad name and when we raise our voice, the teachers in school say nothing about us nor do they help us and the boy's family is a domineering type and people do nothing out of fear of them, so we remain scared and we cannot send our girls to study far away.",0.8,"The statement mentions fear for girls' safety ('we remain scared'), concerns about the domineering boy's family, and lack of protection, which creates an unsafe environment affecting parents' decision to send girls to school.",TRUE
Poverty and Economic Barriers,1113,The child is not going to school due to lack of money,0.98,"The phrase 'lack of money' clearly indicates financial constraints as the barrier to school attendance, which is a core element of poverty and economic barriers.",FALSE
Distance and Accessibility Issues,1116,Some children are unable to study due to distance from school,1,"The statement directly mentions 'distance from school' as the barrier preventing children from studying, which is the core definition of Theme 4.",FALSE
Poverty and Economic Barriers,1133,"Economic conditions can become a major barrier for many children, depriving them of quality education.",1,"The statement directly references 'economic conditions' as a barrier to education, which clearly falls under Theme 1 that addresses how financial hardship and poverty prevent children from accessing education.",FALSE
Early Marriage,3178,"Child marriage, which is caused by lack of education at a young age, was discussed.",0.9,"The statement directly mentions 'child marriage' as the primary issue being discussed, which aligns with Theme 3 that addresses how early marriage prevents children from continuing education.",FALSE
Early Marriage,3154,Child marriage of girls under the age of 18 hinders education.,1,"The statement explicitly mentions 'child marriage' and 'hinders education', directly aligning with Theme 3 which addresses how early marriage prevents girls from continuing their education.",FALSE
Early Marriage,3154,Marrying at a young age makes them less knowledgeable about general knowledge and more likely to experience problems both mentally and physically.,0.95,"The phrase 'marrying at a young age' indicates early marriage, and the statement describes educational consequences ('less knowledgeable') resulting from this practice, fitting Theme 3.",FALSE
Teacher Capacity and Quality Issues,3154,Being backward in studies and lacking in general knowledge,0.75,"The phrase 'backward in studies' and 'lacking in general knowledge' suggests learning progress challenges, which aligns with Theme 7's inclusion of 'children's learning progress is a challenge' as an example.",FALSE
School Infrastructure and Facility Issues,3163,The community is facing an electricity problem.,0.75,"Electricity problems in the community context relate to basic infrastructure gaps that affect the school environment and learning conditions, similar to other facility issues like lack of fans or poor amenities.",FALSE
School Infrastructure and Facility Issues,3163,The sewage system is not working properly.,0.8,"A malfunctioning sewage system relates to sanitation and infrastructure issues that affect the school environment, similar to toilet and water facility problems mentioned in the theme examples.",FALSE
School Infrastructure and Facility Issues,3163,There is a problem with the registration of school dropouts.,0.7,"Registration problems represent administrative and systemic gaps in the education system, similar to delays in government schemes or enrollment issues mentioned in the infrastructure theme.",FALSE
Distance and Accessibility Issues,3176,There is no bus system to take children to school in the village and the road system is not good either.,0.95,"The statement mentions 'no bus system' and 'road system is not good', which are transportation and infrastructure barriers that prevent children from reaching school, fitting the definition of distance and accessibility challenges.",FALSE
Unknown/Unclear,20433,"Najma Khatoon has left all five of them after studying, Sami La Khatoon's daughter said because of tabrebi.",0.9,"The statement contains personal names (Najma Khatoon, Sami La Khatoon) and the phrase is unclear with ambiguous language ('tabrebi') that does not clearly specify an educational barrier.",FALSE
Poverty and Economic Barriers,3176,Unemployment problem,0.85,The phrase 'unemployment problem' directly relates to economic hardship within families. Theme 1 explicitly includes 'unemployment in the family is a significant problem that affects children's education' as an example of poverty and economic barriers.,FALSE
Distance and Accessibility Issues,3185,"The government school is three kilometers away from our village and there is no Anganwadi in our town, so we have to go one kilometer away.",0.95,"The challenge explicitly mentions that the school is 'three kilometers away' and the Anganwadi requires traveling 'one kilometer away', which are clear indicators of distance-related barriers to accessing educational facilities.",FALSE
School Infrastructure and Facility Issues,3187,The community shared concerns about toilet facilities in schools.,0.95,"The statement mentions 'toilet facilities in schools' which directly relates to inadequate school infrastructure and basic amenities, a core component of Theme 6.",FALSE
Teacher Capacity and Quality Issues,3187,The community raised the issue of teacher shortage.,0.95,"The phrase 'teacher shortage' explicitly indicates insufficient number of teachers in the school, which is a primary example of Theme 7.",FALSE
Teacher Capacity and Quality Issues,3231,Lack of teachers in the school,1,"The phrase 'Lack of teachers in the school' directly indicates insufficient teaching staff, which is a core example of teacher capacity issues affecting the learning environment.",FALSE
Distance and Accessibility Issues,3183,"The government school is three kilometers away, making it difficult for children to get to school.",0.95,"The statement explicitly mentions that the school is 'three kilometers away' and this distance makes it 'difficult for children to get to school', which directly relates to physical distance barriers affecting school attendance.",FALSE
School Infrastructure and Facility Issues,3183,There are no Anganwadis in this area.,0.85,"The absence of Anganwadis (early childhood care and education centers) represents a gap in educational infrastructure and facilities available to the community, which affects access to early education services.",FALSE
School Infrastructure and Facility Issues,3191,The community shared concerns about the school toilet.,0.95,"The statement mentions 'concerns about the school toilet' which directly relates to inadequate sanitation facilities in schools, a key infrastructure issue.",FALSE
Teacher Capacity and Quality Issues,3191,The community raised the issue of teacher shortage.,0.98,"The phrase 'teacher shortage' explicitly indicates insufficient number of teachers in the school, which is a core teacher capacity issue.",FALSE
Distance and Accessibility Issues,3194,The transportation system is also not in good condition.,0.95,The statement mentions 'transportation system is also not in good condition' which directly relates to poor transport infrastructure that makes it difficult for children to reach school.,FALSE
School Infrastructure and Facility Issues,3224,"Children in the community do not have proper toilet facilities, which hinders their education.",0.95,The statement explicitly mentions 'do not have proper toilet facilities' which directly relates to inadequate school amenities and infrastructure gaps that affect children's education.,FALSE
Poverty and Economic Barriers,3194,Unemployment due to lack of financial support to send them to higher education.,0.9,The statement references 'unemployment' and 'lack of financial support to send them to higher education' which clearly indicates economic hardship preventing families from affording education.,FALSE
Distance and Accessibility Issues,21060,The girl did not enroll herself because the school was far away and dropped out.,0.95,"The challenge explicitly mentions 'school was far away' as the reason for not enrolling and dropping out, which directly relates to physical distance barriers to education.",FALSE
Unknown/Unclear,21614,It is very important to educate the girl child till 12th standard.,0.95,This is an aspirational statement expressing the importance of education rather than describing a specific barrier or challenge affecting children's education.,FALSE
Safety Concerns,22008,"In the evening the school playground gets filled with drunk people who spread dirt there, it is necessary to stop this.",0.85,"The statement describes drunk people occupying the school playground and creating an unsafe/unclean environment, which raises safety and security concerns for children attending school.",TRUE
Unknown/Unclear,20433,"Nazia Khatoon, in the name of her mother, has left her studies in eighth grade after studying, she is not interested in further studies.",0.85,"The statement contains a personal name (Nazia Khatoon) and mentions lack of interest without specifying an underlying barrier such as poverty, cultural attitudes, or other defined themes.",FALSE
Poverty and Economic Barriers,924,due to financial situation,0.95,"The phrase 'financial situation' directly indicates economic hardship affecting education, which is the core definition of poverty and economic barriers to schooling.",FALSE
Distance and Accessibility Issues,955,Four girls studied till the eighth grade and then left their studies because the school was far away,0.95,"The challenge explicitly states 'the school was far away' as the reason for dropout, which directly relates to physical distance barriers preventing school attendance.",FALSE
Poverty and Economic Barriers,943,"In Shiksha Chaupal she is saying that Didi we are poor, we work as labourers at other places, my daughter also works as a labourer, my husband also works as a labourer, I do not have money to educate my child",1,"The statement explicitly mentions poverty ('we are poor'), labor work by family members including the child, and directly states 'I do not have money to educate my child', clearly indicating financial hardship as the barrier to education.",FALSE
Poverty and Economic Barriers,945,"The challenges of punishment are that boys and girls are poor and hence their attendance in school is very high, so it",0.6,"The statement mentions 'boys and girls are poor' which directly references poverty as a barrier affecting education. Despite the incomplete and somewhat unclear sentence structure, the core issue identified is poverty affecting school attendance.",FALSE
School Infrastructure and Facility Issues,966,Lack of education among adolescent girls due to various socio-economic factors and lack of access to quality educational resources,0.8,The phrase 'lack of access to quality educational resources' indicates insufficient learning resources and facility gaps in schools.,TRUE
School Infrastructure and Facility Issues,986,"Due to lack of tuition facilities, students have to completely depend on government schools, which fail to provide adequate education.",0.75,"The challenge mentions 'lack of tuition facilities' as a resource gap, combined with 'government schools fail to provide adequate education', indicating systemic gaps in educational quality and support infrastructure.",TRUE
Poverty and Economic Barriers,1000,The teenager does not go to school due to workload,0.85,"The phrase 'does not go to school due to workload' indicates the teenager is engaged in labor or work activities instead of attending school, which aligns with poverty forcing children to prioritize work over education.",FALSE
Other Factors,21067,Due to lack of awareness among parents,0.9,"The statement explicitly mentions 'lack of awareness among parents,' which directly aligns with Theme 10 that captures issues related to parents not being aware about the importance of education.",FALSE
Unknown/Unclear,21614,"Take the decision of marriage at the right age, explained by teacher Chapal, take the right decision",0.9,This is an advisory/recommendation statement rather than a barrier description. It mentions 'teacher Chapal' which is a personal name constituting PII.,FALSE
Distance and Accessibility Issues,1015,"The school is 3 km away from the community, making it difficult for children to travel there.",1,"The challenge explicitly mentions that 'school is 3 km away' and states it makes travel 'difficult for children', which directly relates to physical distance barriers preventing school attendance.",FALSE
Early Marriage,1036,Inability to complete education due to early marriage,1,"The statement directly links 'early marriage' to inability to complete education, which is the core definition of Theme 3.",FALSE
Poverty and Economic Barriers,1022,"We are all poor, where will we get so much money for higher education?",1,"The statement explicitly mentions poverty and inability to afford higher education due to financial constraints, directly linking economic hardship to educational barriers.",FALSE
Substance Abuse and Addiction,22008,"In the evening the school playground gets filled with drunk people who spread dirt there, it is necessary to stop this.",0.85,"The statement explicitly mentions 'drunk people' affecting the school environment, which relates to alcohol use in the community impacting the educational setting.",TRUE
Distance and Accessibility Issues,1065,"The school is far away from the village, making it difficult for the girls to go there.",0.95,"The challenge explicitly mentions 'school is far away from the village' and 'difficult for the girls to go there', which directly relates to physical distance barriers preventing school attendance.",FALSE
Early Marriage,1106,Girls are often married before they complete their 12th grade education.,1,"The statement explicitly mentions that girls are married before completing their education (12th grade), which directly indicates early marriage as a barrier preventing educational completion.",FALSE
Parental Attitudes and Socio-Cultural Barriers,1085,Providing education up to 12th class in villages is not considered compulsory,0.85,"The phrase 'not considered compulsory' reflects a community mindset or cultural attitude that does not prioritize completing secondary education, indicating socio-cultural barriers to schooling.",FALSE
Parental Attitudes and Socio-Cultural Barriers,1101,Girls do not want to study because of household chores,0.9,"The statement indicates that girls are prioritizing or being assigned 'household chores' over education, reflecting socio-cultural norms and family attitudes that limit girls' educational opportunities.",FALSE
Teacher Capacity and Quality Issues,1080,"Girls fall in love while studying and marry of their own free will without informing their parents which brings us a bad name and when we raise our voice, the teachers in school say nothing about us nor do they help us and the boy's family is a domineering type and people do nothing out of fear of them, so we remain scared and we cannot send our girls to study far away.",0.75,"The statement explicitly mentions that 'teachers in school say nothing about us nor do they help us', indicating lack of teacher support and engagement with community concerns.",TRUE
Poverty and Economic Barriers,1113,"Due to poverty, the child is not studying, the sister is working as a labourer",0.97,"The statement explicitly mentions 'poverty' and describes how it forces family members to prioritize work (labour) over education, which matches the definition of economic barriers forcing children to work instead of attending school.",FALSE
School Infrastructure and Facility Issues,1147,"No benefit from government school, no benefit of bicycle, uniform etc.",0.9,"The statement mentions lack of benefits from government schemes including bicycle and uniform, which are examples of government scheme implementation gaps and resource provision issues covered under school infrastructure and facility issues.",FALSE
Poverty and Economic Barriers,1130,"Due to illiteracy, poverty and distance from school, children are facing difficulties in getting education.",0.95,"The challenge explicitly mentions 'poverty' as one of the barriers preventing children from accessing education, which directly aligns with Theme 1 focusing on economic hardship.",TRUE
Parental Attitudes and Socio-Cultural Barriers,20433,"Elaichi Begum's daughter has left her after studying Nava, tell me other girls are very bad, that is why we will not send them for some reason.",0.75,"The statement contains a personal name (Elaichi Begum) and reflects parental attitudes and concerns about other girls' behavior influencing the decision not to send their daughter to school, which aligns with socio-cultural barriers.",FALSE
School Infrastructure and Facility Issues,3169,The problem of clean drinking water is a concern.,0.85,The statement refers to 'clean drinking water' which aligns with school infrastructure and facility gaps. Drinking water availability is explicitly mentioned as an example under Theme 6.,FALSE
Poverty and Economic Barriers,3160,The problem of parental poverty in the family,0.95,"The statement explicitly mentions 'poverty in the family' which directly relates to financial hardship affecting children's education, a core element of Theme 1.",FALSE
Poverty and Economic Barriers,3160,Financial problem,0.95,"The phrase 'Financial problem' directly indicates economic constraints that serve as barriers to education, which is the primary focus of Theme 1.",FALSE
Unknown/Unclear,3166,The community shared about the Forest Rights Act and its impact on their lives.,0.95,"This statement discusses the Forest Rights Act and its general impact on community lives, but does not describe any specific educational barrier or challenge affecting children's schooling.",FALSE
Distance and Accessibility Issues,3166,The community also discussed the issues related to boarding the school bus and the challenges they face.,0.85,"The statement mentions 'issues related to boarding the school bus' which relates to transportation challenges that affect children's ability to reach school, fitting the accessibility and transport infrastructure aspects of this theme.",FALSE
School Infrastructure and Facility Issues,3141,There is a compound problem at school.,0.75,"The term 'compound problem' likely refers to the lack of a boundary wall or enclosed compound at the school, which is an infrastructure issue affecting school premises.",FALSE
School Infrastructure and Facility Issues,3143,There is a compound problem at school.,0.65,"The term 'compound problem' likely refers to issues with the school compound/boundary, which relates to infrastructure. This aligns with school facility gaps mentioned in Theme 6.",FALSE
Distance and Accessibility Issues,3165,The community faces challenges in the transportation system that affect children's education.,0.95,"The statement explicitly mentions 'challenges in the transportation system' which directly relates to accessibility barriers that prevent children from reaching school, a core component of Theme 4.",FALSE
School Infrastructure and Facility Issues,3141,Toilet problem in school,0.95,"The statement explicitly mentions 'toilet problem in school' which directly relates to inadequate sanitation facilities, a clear infrastructure gap.",FALSE
Unknown/Unclear,3143,It was discussed in the meeting to apply it to our Annur Gram Panchayat.,0.8,This statement mentions a procedural discussion about applying something to a specific Gram Panchayat but does not clearly describe any educational barrier. The specific location name 'Annur Gram Panchayat' constitutes PII.,FALSE
Parental Attitudes and Socio-Cultural Barriers,21060,"Due to lack of interest, the girl left her studies and started helping in household chores.",0.85,"The challenge describes a girl leaving studies to engage in household chores, which reflects socio-cultural norms prioritizing domestic roles for girls over education, even though framed as 'lack of interest'.",FALSE
Early Marriage,3141,Child marriage problem,0.95,"The statement directly mentions 'child marriage problem' which is the core barrier defined in Theme 3, preventing children (especially girls) from continuing their education.",FALSE
Early Marriage,3157,Child marriage is a major challenge in the community.,1,"The statement explicitly mentions 'child marriage' as a major challenge, which directly aligns with Theme 3 that addresses how early marriage prevents girls from continuing their education.",FALSE
School Infrastructure and Facility Issues,3162,The community has expressed concern about the impact of school closures on children's education.,0.75,"The phrase 'school closures' indicates systemic issues affecting school availability and access, which falls under infrastructure and facility gaps that reduce the effectiveness of schooling.",FALSE
School Infrastructure and Facility Issues,3157,A large number of girls do not have toilet facilities.,0.95,"The statement mentions 'lack of toilet facilities' which is a clear infrastructure gap in schools, directly matching the examples under Theme 6 such as 'Lack of toilets in schools'.",FALSE
Distance and Accessibility Issues,3162,The community faces challenges in accessing higher education.,0.7,"The phrase 'challenges in accessing higher education' suggests physical or logistical barriers to reaching educational institutions, which aligns with accessibility issues.",FALSE
Unknown/Unclear,3157,The number of girls enrolling in school has increased.,1,This statement describes a positive development (increased enrollment) rather than an educational barrier or challenge. It does not relate to any obstacle preventing children from accessing or continuing education.,FALSE
Distance and Accessibility Issues,3162,The road system in this area is not good.,0.9,"The statement 'road system in this area is not good' directly relates to poor transport infrastructure that makes it difficult for children to reach school, which is a core accessibility barrier.",FALSE
Distance and Accessibility Issues,3152,Bus problem for children to go to school.,0.95,"The statement mentions 'bus problem' which directly relates to transportation infrastructure challenges that prevent children from reaching school, a key indicator of accessibility issues.",FALSE
Early Marriage,24099,Marrying at a young age,0.95,"The phrase 'marrying at a young age' directly refers to early marriage, which is a barrier to education as defined in Theme 3.",FALSE
School Infrastructure and Facility Issues,3152,Problem of clean drinking water in school.,0.95,"The statement explicitly mentions 'clean drinking water in school' which is a basic amenity and infrastructure gap, directly matching the theme's definition of inadequate school facilities.",FALSE
Distance and Accessibility Issues,3178,There is no punctual bus service.,0.95,The statement mentions 'no punctual bus service' which directly relates to transportation infrastructure problems that affect children's ability to reach school reliably.,FALSE
Distance and Accessibility Issues,3178,There is no school or college in the nearby village for the children's higher education.,0.95,"The phrase 'no school or college in the nearby village' indicates physical distance and lack of accessible educational institutions for higher education, which is a clear accessibility barrier.",FALSE
Distance and Accessibility Issues,3178,They drop out of school after SSLC because there is no school or college nearby.,0.95,"The statement explicitly links dropout to 'no school or college nearby', indicating that physical distance and lack of accessible institutions cause students to discontinue education.",FALSE
Early Marriage,8151,Child marriage is being done,1,The statement directly mentions 'child marriage' which is the defining characteristic of Theme 3.,FALSE
Poverty and Economic Barriers,20450,"Due to poverty, children are not attending school.",1,"The statement explicitly mentions 'poverty' as the reason children are not attending school, which directly aligns with Theme 1 describing how financial hardship leads to irregular attendance or dropouts.",FALSE
Unknown/Unclear,21060,A girl withdrew from school due to ill health and left her studies.,0.9,"The challenge mentions 'ill health' as a generic health issue without specific details about the nature of illness or how it affects education, making it too vague to classify into defined themes.",FALSE
Distance and Accessibility Issues,3202,"The village lacks a local school, which means that children have to travel to another village for education, which is hampered by the lack of transportation.",0.95,"The challenge explicitly mentions that children have to travel to another village for education and face transportation problems, which directly relates to distance and accessibility barriers.",FALSE
Distance and Accessibility Issues,21579,"There is no school in the village after middle school, one has to go far away, hence there is some problem and the guardians also do not want to study and the children also do not want to study.",0.9,The statement clearly mentions 'no school in the village after middle school' and 'one has to go far away' which directly indicates distance as a primary barrier to accessing education.,TRUE
School Infrastructure and Facility Issues,3201,"Children have difficulty sitting in school because the seating arrangement is not proper, which affects their ability to concentrate and learn effectively.",0.95,The challenge explicitly mentions 'seating arrangement is not proper' which is a clear infrastructure and facility gap affecting the learning environment.,FALSE
Teacher Capacity and Quality Issues,3201,"There is a shortage of classroom teachers at the school, which affects the quality of education and student-teacher interaction.",1,The statement directly mentions 'shortage of classroom teachers' which is a core issue related to insufficient teaching staff affecting education quality.,FALSE
School Infrastructure and Facility Issues,3202,"The Anganwadi center in the village overflows with water during the rainy season, indicating a need for repair or improvement.",0.9,"The statement describes infrastructure problems at the Anganwadi center, specifically water overflow during rainy season requiring repair, which falls under facility and infrastructure gaps.",FALSE
Parental Attitudes and Socio-Cultural Barriers,22012,There is discrimination between boys and girls.,0.9,"The statement mentions 'discrimination between boys and girls' which indicates gender-based discrimination, a socio-cultural barrier that affects educational access and participation.",FALSE
School Infrastructure and Facility Issues,3199,The school rooms are in a dilapidated state and need to be renovated to provide a conducive learning environment for the children.,0.95,"The statement explicitly mentions 'school rooms are in a dilapidated state' and need renovation, which directly relates to inadequate school infrastructure and poor classroom conditions.",FALSE
School Infrastructure and Facility Issues,3222,School cleanliness was a major concern for the community.,0.9,"The statement mentions 'school cleanliness' as a concern, which directly relates to school environment and facility maintenance issues covered under infrastructure gaps.",FALSE
School Infrastructure and Facility Issues,3199,"There is a lack of computer facilities at the school, which hinders children's ability to gain knowledge and skills in technology.",0.95,"The statement describes 'lack of computer facilities at the school', which represents insufficient learning resources and gaps in school facilities that affect the quality of education.",FALSE
Distance and Accessibility Issues,3222,"The transportation system was good, but the roads were not good, making it difficult for vehicles to move around.",0.95,"The statement explicitly mentions 'roads were not good' and difficulty in vehicle movement, which creates physical accessibility barriers for children reaching school.",FALSE
