Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
,,,,,,1460 | Children without Aadhar card will not be enrolled in school | 0.9003
,,,,,,1461 | Many children here do not have Aadhaar cards | 0.9813
,,,,,,1535 | Why doesn't my child have an Aadhaar card? | 0.9521
,,,,,,"1585 | If children do not have an Aadhaar card, how many problems do they face | 0.9049"
,,,,,,1725 | Some children are not going to school because they do not have Aadhar cards. | 0.9252
,,,,,,1821 | Aadhaar cards of children not made | 0.9136
,,,,,,1907 | Children were not admitted to school due to lack of Aadhar card | 0.9334
,,,,,,"2191 | Children are not able to get admission in school due to lack of Aadhar card, which is an essential document. | 0.9167"
,,,,,,2207 | Children are not getting admission in school due to lack of Aadhar card | 0.9524
,,,,,,2237 | Parents said that their children were not admitted to school because they did not have Aadhaar cards. | 0.9218
,,,,,,"2300 | Due to lack of Aadhar card, children are not able to get admission in school. | 0.9007"
,,,,,,2390 | Children are not able to go to school due to lack of Aadhar card. | 0.9294
,,,,,,2465 | Children are not getting admission in school due to lack of Aadhar card | 0.9524
,,,,,,2506 | Admission is not happening in school because children do not have Aadhar card and hence children are not going to school | 0.9011
,,,,,,2609 | Some children are not able to get admission in school because they do not have Aadhar card. | 0.9178
,,,,,,"2740 | Many children have not got their Aadhaar cards made, due to which they have not been able to get admission in school | 0.9498"
,,,,,,2876 | Many children cannot get enrolled in school due to lack of an Aadhaar card and hence many children do not go to study. | 0.9711
,,,,,,"2883 | Many children cannot enroll in school due to lack of an Aadhaar card, which is why many children do not go to study. | 0.9586"
,,,,,,2920 | Aadhaar cards of children not made | 0.9136
,,,,,,2992 | Difficulty in enrolling children due to lack of Aadhaar card hinders their access to education. | 0.9217
,,,,,,3111 | Some children are not able to get admission in school because they do not have Aadhar card | 0.9328
,,,,,,3117 | Children are not able to get enrolled in school due to lack of Aadhaar card. | 0.973
,,,,,,"3136 | Difficulties in enrolling children in school, obstacles due to lack of Aadhar card and lack of awareness towards education | 0.9246"
,,,,,,4370 | Children are not going to school due to lack of Aadhar Card. | 0.9009
,,,,,,"4393 | Due to lack of Aadhar card, children are not getting admission | 0.9155"
,,,,,,4416 | The child does not have an Aadhaar card. | 0.973
,,,,,,"4467 | Aadhar card of children is not made, hence they could not get admission in school | 0.94"
,,,,,,4519 | Children do not have Aadhar cards. | 0.916
,,,,,,4523 | Children are not being sent to school due to lack of Aadhar card | 0.9305
,,,,,,4558 | Children do not have Aadhaar card | 1
,,,,,,"4559 | Many children do not have Aadhar card, due to which they are not able to get admission in school. | 0.9134"
,,,,,,4564 | The community faces a challenge in enrolling children in school due to a lack of Aadhar cards. | 0.9863
,,,,,,4576 | Some children are not enrolled due to lack of Aadhaar card and the school being far away | 0.9454
,,,,,,4622 | Children are not able to go to school because they do not have Aadhar card | 0.908
,,,,,,4776 | Children were not enrolled due to lack of Aadhaar card | 0.933
,,,,,,4798 | Aadhaar card is not available for children | 0.9177
,,,,,,5078 | A mother of a child was told that our child does not have an Aadhaar card and hence he is not getting admission in the school | 0.9077
,,,,,,5103 | Children do not have Aadhar Card | 0.9427
,,,,,,5192 | Children are not enrolling in school due to Aadhar card | 0.913
,,,,,,5209 | Children are not able to go to school due to lack of Aadhar card | 0.9115
,,,,,,5262 | The community shared that not having an Aadhar card is a challenge regarding children's education. | 0.9013
,,,,,,5288 | The community shared that not having an Aadhar card is a challenge regarding children's education. | 0.9013
,,,,,,5403 | Children are not getting admission in school due to lack of Aadhar card | 0.9524
,,,,,,"5476 | Children do not have Aadhaar cards, which is a requirement for admission to school. | 0.9427"
,,,,,,5537 | There was a problem in enrolling the child due to not having an Aadhaar card | 0.9177
,,,,,,5738 | Aadhaar cards were not made for many children. | 0.9123
,,,,,,5763 | Some children are not going to school because they do not have Aadhaar cards. | 0.9642
,,,,,,5806 | Reasons for not making Aadhaar card for children | 0.9119
,,,,,,5928 | Children not getting admission in school due to lack of Aadhaar card | 1
,,,,,,"6005 | Due to the absence of the child's father, poverty and lack of money, the Aadhaar card could not be made and hence the child could not be enrolled in school. | 0.9224"
,,,,,,6032 | Children cannot be enrolled in school due to lack of Aadhaar card. | 0.9618
,,,,,,6040 | Children were not enrolled in school due to lack of Aadhaar card. | 0.9421
,,,,,,6041 | Children are not attending school due to lack of Aadhaar cards. | 0.937
,,,,,,6049 | Children were not getting enrolled in school as their Aadhaar cards were not made. | 0.9302
,,,,,,6122 | Children cannot go to school because they do not have an Aadhaar card. | 0.944
,,,,,,"6139 | The community faces issues with children not having Aadhar cards, which affects their school enrollment. | 0.9061"
,,,,,,6151 | Due to lack of Aadhar card | 1
,,,,,,6162 | Some children are not enrolled in school due to lack of Aadhaar card. | 0.98
,,,,,,"6201 | Due to Aadhar card, the child is not getting admission in school | 0.9087"
,,,,,,6438 | Some children do not have Aadhar cards. | 0.9291
,,,,,,6470 | Children do not have Aadhaar cards | 1
,,,,,,6481 | Children were not enrolled in school due to lack of Aadhaar cards. | 0.9448
,,,,,,6574 | Children are out of school because they do not have Aadhaar cards due to some problem | 0.9117
,,,,,,6716 | The child could not be enrolled due to lack of Aadhaar card. | 0.9081
,,,,,,6849 | There are some children whose Aadhaar cards are not made and due to non-enrolment they are not going to school. | 0.9523
,,,,,,6912 | Aadhaar cards of children are not made. | 0.9199
,,,,,,6920 | Some children are unable to attend school due to lack of Aadhaar cards. | 0.9699
,,,,,,7109 | Some children do not have Aadhar cards. | 0.9291
,,,,,,7114 | There are some children whose Aadhar cards have not been made and due to non-enrolment they are not going to school. | 0.9365
,,,,,,7187 | Children in the village cannot go to school without an Aadhaar card and their admission cannot be done without an Aadhaar card. | 0.9071
,,,,,,7231 | The community faces a challenge in enrolling children for education due to the lack of Aadhar cards. | 0.9637
,,,,,,7470 | Children are not able to get admission due to lack of Aadhar card. | 0.9239
,,,,,,"7613 | Due to lack of Aadhar card, children are not getting admission in school. | 0.9189"
,,,,,,7655 | Lack of Aadhaar cards prevented children from enrolling in school. | 0.925
,,,,,,7769 | Many children have not been able to get admission in school because their Aadhar cards have not been made. | 0.9482
,,,,,,7777 | There are some children whose Aadhar Card has not been made and due to non-enrolment they are not going to school | 0.9317
,,,,,,7831 | Children cannot be admitted to school due to lack of Aadhaar card. | 0.9524
,,,,,,7841 | There are some children whose Aadhar card is not made and due to non-enrolment they are not going to school. | 0.92
,,,,,,7865 | Some children do not have Aadhar cards. | 0.9291
,,,,,,7884 | Children could not get enrolled in school due to lack of Aadhaar card | 0.9606
,,,,,,7958 | Due to lack of Aadhar card | 1
,,,,,,7962 | Children are unable to access education due to lack of Aadhaar card. | 0.9471
,,,,,,8041 | Children are not enrolled in school due to lack of Aadhaar cards. | 0.9637
,,,,,,8052 | There is a girl child who does not have an Aadhaar card. | 0.9499
,,,,,,8071 | Children do not have an Aadhaar card. | 0.979
,,,,,,8086 | The child does not have an Aadhaar card. | 0.973
,,,,,,8088 | One girl child does not have an Aadhaar card. | 0.9102
,,,,,,8107 | Lack of Aadhaar card hinders children's education | 0.9227
,,,,,,8125 | Due to lack of Aadhar card children are not able to get enrolled in school. | 0.9101
,,,,,,8210 | Children are unable to go to school due to Aadhaar card. | 0.9496
,,,,,,8244 | Some children do not have Aadhar cards. | 0.9291
,,,,,,8255 | Some children do not have Aadhar cards. | 0.9291
,,,,,,"8325 | Children do not have Aadhar cards, hence they are not able to get enrolled in schools. | 0.9257"
,,,,,,8327 | Due to lack of Aadhar card | 1
,,,,,,8578 | Children are unable to enroll in school due to lack of Aadhaar card. | 0.9821
,,,,,,8625 | There are some children who cannot go to school without Aadhaar card and are unable to get admission. | 0.9526
,,,,,,"8642 | Some children do not have Aadhaar cards, which can hinder their access to certain educational benefits. | 0.9209"
,,,,,,8664 | Children are unable to enroll in school due to lack of Aadhaar card. | 0.9821
,,,,,,8701 | Children do not go to school because they do not have Aadhaar cards. | 0.9634
,,,,,,8799 | Many children did not have Aadhaar cards. | 0.9476
,,,,,,8818 | Due to lack of Aadhar card | 1
,,,,,,8820 | Two children did not go to school due to lack of Aadhaar card | 0.915
,,,,,,"8833 | Some children do not have Aadhar card, which is making it very difficult for them to go to school. | 0.9034"
,,,,,,9018 | Two or four children have not been enrolled in school due to lack of Aadhaar card. | 0.9322
,,,,,,9021 | The children are not admitted to school because their birth certificates and Aadhaar cards have not been issued. | 0.924
,,,,,,9086 | Children are unable to attend school because they do not have Aadhaar cards. | 0.9684
,,,,,,"9122 | Due to lack of education, children have not been able to get their Aadhaar cards made. | 0.9034"
,,,,,,9168 | Two children are not attending school because they do not have Aadhaar cards. | 0.9128
,,,,,,9182 | Some children are unable to go to school without Aadhaar card. | 0.9822
,,,,,,9184 | The child is unable to attend school due to lack of Aadhaar card. | 0.927
,,,,,,"9221 | Due to lack of Aadhar card, children are not able to get enrolled in school. | 0.9191"
,,,,,,9256 | There are some children who are not going to school because their Aadhar Card has not been made and they have not been enrolled. | 0.9234
,,,,,,9342 | The community faces challenges in enrolling children in school due to lack of Aadhar cards and birth certificates. | 0.9644
,,,,,,9380 | Children are not able to get admission in school due to lack of Aadhar card. | 0.9294
,,,,,,9403 | Children do not have Aadhar cards due to which they are not able to attend school. | 0.9105
,,,,,,9418 | Children are unable to take admission due to lack of Aadhaar card. | 0.9316
,,,,,,9431 | The child not having an Aadhar Card | 0.9165
,,,,,,9472 | Most of the children could not get admission due to not having Aadhar card | 0.9186
,,,,,,"9477 | Due to lack of date of birth, children are unable to get Aadhaar and hence are unable to get enrolled in school. | 0.9031"
,,,,,,9509 | Children are not enrolled in school due to lack of Aadhaar card. | 0.9589
,,,,,,9510 | Some children do not have Aadhar Card. | 0.9354
,,,,,,"9728 | Due to lack of Aadhar card, children are not able to get enrolled in school. | 0.9191"
,,,,,,9732 | Some children have not been enrolled in school due to lack of Aadhaar cards. | 0.9717
,,,,,,9753 | All children have Aadhaar cards. | 0.9223
,,,,,,9768 | Children could not go to school due to lack of Aadhar card. | 0.9179
,,,,,,9897 | Children are not being enrolled in school due to lack of Aadhaar cards. | 0.9549
,,,,,,9951 | Children not getting admission in school due to lack of Aadhaar card | 1
,,,,,,9966 | Many children are unable to get admission in school due to lack of Aadhar card. | 0.9147
,,,,,,10013 | Children have not been admitted to school due to lack of Aadhaar card. | 0.9403
,,,,,,"10098 | Due to lack of Aadhar card, children are not getting admission in school. | 0.9189"
,,,,,,"10172 | Due to lack of Aadhar card, children are not able to take admission in school. | 0.9021"
,,,,,,10217 | 2 children were unable to go to school due to lack of Aadhaar card | 0.9184
,,,,,,10258 | Children are unable to enroll in school due to lack of Aadhaar card. | 0.9821
,,,,,,"10272 | Some parents say that if the child does not have an Aadhaar card, he/she is not admitted to school, hence the children do not go to school. | 0.9359"
,,,,,,10282 | This year some children could not get enrolled in school because they did not have Aadhaar cards. | 0.959
,,,,,,10371 | The child is not getting admission in school due to lack of Aadhar card. | 0.9089
,,,,,,10386 | Children are unable to go to school due to lack of Aadhaar card. | 0.9661
,,,,,,10400 | Many children are not enrolled in school because their Aadhaar cards are not made. | 1
,,,,,,10489 | Lack of Aadhaar card hinders children’s education | 0.9125
,,,,,,"10533 | The children do not go to school, do not have Aadhaar cards and are not even enrolled in school. | 0.9517"
,,,,,,10563 | Children are not able to get admission in school due to lack of Aadhar card. | 0.9294
,,,,,,10578 | Many children are unable to enroll in school due to lack of Aadhaar card. | 0.9773
,,,,,,"10583 | Due to lack of Aadhar card, children are not getting enrolled in the school. | 0.9131"
,,,,,,10718 | Many children do not have their Aadhaar cards made. | 0.9709
,,,,,,"10792 | Some parents said that due to the lack of Aadhar card, the children have not been admitted to school and hence the children do not go to school. | 0.9112"
,,,,,,10795 | Children are not getting admission in school due to lack of Aadhar card. | 0.9448
,,,,,,10806 | There are children whose Aadhaar cards are not even made. | 0.9418
,,,,,,10834 | There are children whose Aadhaar cards are not made | 0.9439
,,,,,,10878 | Children in the community do not have Aadhaar cards. | 0.9389
,,,,,,10880 | Lack of Aadhaar card affects children's education | 0.9124
,,,,,,10903 | Some children do not have Aadhar Card | 0.9344
,,,,,,10906 | Many children are unable to go to school because they do not have an Aadhaar card. | 0.9605
,,,,,,10914 | Some children do not have Aadhar cards and hence are not able to get admission in school. | 0.9134
,,,,,,10916 | Some children in the group don't have Aadhaar cards. | 0.9389
,,,,,,10944 | The child is not enrolled in school due to lack of Aadhaar card. | 0.9157
,,,,,,10962 | A child who was not enrolled in school due to lack of Aadhaar card. | 0.9029
,,,,,,"11011 | Children do not have birth certificates or Aadhaar cards, due to which many children are deprived of school. | 0.9146"
,,,,,,11046 | Some children have been expelled from school because they do not have Aadhaar cards. | 0.9016
,,,,,,"11062 | Some children do not have basic necessities like Aadhaar cards, which is hindering their ability to continue their education. | 0.9139"
,,,,,,11106 | Some children do not have Aadhar card due to which they are not able to get enrolled in school. | 0.935
,,,,,,11122 | Some children are not able to get admission due to lack of Aadhar card. | 0.9179
,,,,,,"11203 | Without Aadhaar card, children's education is hampered | 0.9104"
,,,,,,11205 | Children are not able to get admission in school due to lack of Aadhar card. | 0.9294
,,,,,,11279 | Some children do not have Aadhar cards. | 0.9291
,,,,,,11295 | Lack of Aadhaar card hinders children's education | 0.9227
,,,,,,11346 | Some children do not have Aadhar cards. | 0.9291
,,,,,,11436 | Children do not go to school due to lack of Aadhaar card. | 0.9493
,,,,,,"11437 | Children's Aadhaar cards are not made, hence they are not enrolled in school. | 0.9759"
,,,,,,11510 | The child cannot be admitted to school due to lack of Aadhaar card. | 0.9129
,,,,,,11514 | Children are unable to enroll in school due to lack of Aadhaar card. | 0.9821
,,,,,,"11523 | Due to lack of Aadhar card, children are not able to get admission in school. | 0.9007"
,,,,,,11578 | Children were not being enrolled in school due to the lack of Aadhaar cards. | 0.9463
,,,,,,11594 | Children's education is incomplete due to lack of Aadhaar card | 0.9379
,,,,,,11643 | There are children whose Aadhar cards are not made due to which they are not able to enroll in school. | 0.9294
,,,,,,11740 | Due to lack of Aadhar card | 1
,,,,,,"11790 | Some children did not have Aadhar cards, due to which they could not get admission in school. | 0.9226"
,,,,,,11807 | Children did not go to school due to lack of Aadhaar | 0.9054
,,,,,,11835 | Due to lack of Aadhar card | 1
,,,,,,11863 | Children are not getting admission in school due to lack of birth certificate and Aadhar card. | 0.9049
,,,,,,11881 | Some children do not have Aadhaar cards. | 0.9821
,,,,,,"11897 | Children don't go to school because they lack money. They don't have Aadhaar cards, so they don't go to school. | 0.9102"
,,,,,,11910 | Some children do not have Aadhaar cards. | 0.9821
,,,,,,11929 | Reasons for children not having Aadhaar card | 0.9358
,,,,,,"11935 | Due to lack of Aadhar card, children are not able to go to school. | 0.9082"
,,,,,,12001 | Some children do not have Aadhaar cards. | 0.9821
,,,,,,12007 | Children do not go to school because they do not have an Aadhaar card. | 0.9645
,,,,,,12008 | Due to lack of Aadhar card | 1
,,,,,,12040 | The community faces a challenge where children are unable to enroll in school due to a lack of Aadhaar cards. | 0.9222
,,,,,,12066 | There are many children whose Aadhaar cards are yet to be made. | 0.9045
,,,,,,12066 | Many children are unable to enroll in schools due to lack of Aadhaar cards. | 0.9674
,,,,,,12122 | Children do not attend school due to lack of Aadhaar cards. | 0.9406
,,,,,,12148 | Many children are not getting enrolled in school because they do not have Aadhaar cards. | 0.9813
,,,,,,12149 | Some children are not able to enroll in school due to lack of Aadhaar card. | 0.9795
,,,,,,12160 | There are many children who do not have Aadhaar cards. | 1
,,,,,,12229 | Children are not going to school because they do not have Aadhar card. | 0.917
,,,,,,12236 | Children are not enrolled in school due to lack of Aadhaar card. | 0.9589
,,,,,,12314 | Communities reported that their children could not be admitted to school because they did not have Aadhaar cards. | 0.9051
,,,,,,12354 | Aadhaar card of many children is not made | 0.9002
,,,,,,12402 | The child is not being enrolled due to lack of Aadhaar card. | 0.9305
,,,,,,12430 | The child is not enrolled in the school due to lack of Aadhaar card. | 0.9084
,,,,,,12457 | The school is not enrolling children because they do not have Aadhaar cards. | 0.9457
,,,,,,12600 | Some children are not getting enrolled due to lack of Aadhaar card. | 0.9264
,,,,,,12648 | Children are not getting admission due to Aadhar card. | 0.909
,,,,,,12715 | The child was not enrolled in school due to lack of Aadhaar card. | 0.9037
,,,,,,12722 | Due to lack of Aadhar card | 1
,,,,,,12727 | Due to lack of Aadhar card | 1
,,,,,,12755 | Children are not enrolled in school due to lack of Aadhaar card. | 0.9589
,,,,,,12762 | Five children are not enrolled in school without Aadhaar card. | 0.909
,,,,,,12769 | The child cannot be enrolled in school due to lack of Aadhaar card. | 0.9299
,,,,,,12813 | Children are not admitted to school due to lack of Aadhaar card. | There are some children who drop out of school after studying till class
,,,,,,12814 | Children are unable to go to school due to lack of Aadhaar card. | 0.9661
,,,,,,12854 | Many young children have been unable to get admission in school due to lack of Aadhaar cards. | 0.9397
,,,,,,12941 | The community said that till now their children have not been able to get admission in school due to lack of Aadhar card. | 0.9141
,,,,,,"12970 | There are many children whose Aadhar cards have not been made yet, due to which they are not able to enroll in school. | 0.9435"
,,,,,,12980 | Many small children do not have Aadhaar cards and hence are not enrolled in school | 0.9578
,,,,,,"12982 | There are children whose Aadhar cards have not been made yet, due to which they are not being enrolled in school. | 0.9439"
,,,,,,12995 | Due to not having Aadhar card | 1
,,,,,,13076 | Due to lack of Aadhar card | 1
,,,,,,13092 | Children were not getting admission due to Aadhar card | 0.9212
,,,,,,13093 | Children are not getting admission due to Aadhar card | 0.9172
,,,,,,13100 | Due to Aadhar Card | 0.9213
,,,,,,13124 | Children are also unable to go to school due to problems with Aadhaar card. | 0.9419
,,,,,,13154 | Many children have not been able to get enrolled because their Aadhaar cards have not been made. | 0.9309
,,,,,,13197 | Due to lack of Aadhar card | 1
,,,,,,13213 | Due to lack of Aadhar card | 1
,,,,,,13232 | Due to Aadhar Card | 0.9213
,,,,,,13280 | A girl child doesn't have an Aadhaar card. | 0.9189
,,,,,,13346 | Children are not getting enrolled in school due to lack of Aadhaar card. | 0.9499
,,,,,,13349 | Children are not going to school due to lack of Aadhaar card | 0.9523
,,,,,,13361 | Children were not enrolled in school due to lack of Aadhaar card. | 0.9421
,,,,,,13362 | Children are not admitted to school due to lack of Aadhaar card. | 0.956
,,,,,,13539 | Lack of Aadhaar cards is preventing children from enrolling in school. | 0.9332
,,,,,,13664 | 3-4 children were not enrolled in school due to lack of Aadhaar. | 0.9026
,,,,,,13689 | Lack of Aadhaar card hinders children's education | 0.9227
,,,,,,13690 | Some children do not have Aadhaar cards and hence are unable to go to school. | 0.9462
,,,,,,"13749 | The parents there do not have Aadhaar for their children, hence the children do not go to school. | 0.9007"
,,,,,,13843 | Children are unable to enroll in school due to lack of Aadhaar card. | 0.9821
,,,,,,13878 | Some children do not have Aadhar card. | 0.9354
,,,,,,"15465 | Due to lack of Aadhar card, children are not able to get enrolled in school. | 0.9191"
,,,,,,16418 | Some children are unable to go to school because their Aadhaar cards are not made. | 0.941
,,,,,,16464 | Some children do not have Aadhaar cards. | 0.9821
,,,,,,16468 | Children are not enrolled in school due to Aadhaar card issues. | 0.9451
,,,,,,16502 | Two children do not have Aadhaar card | 0.9351
,,,,,,16546 | The children were unable to go to school because they did not have Aadhaar cards. | 0.9202
,,,,,,16567 | Due to lack of Aadhar card | 1
,,,,,,16626 | Due to lack of Aadhar card | 1
,,,,,,16638 | Children do not have Aadhaar card. | 0.9771
,,,,,,16643 | Due to lack of Aadhar card | 1
,,,,,,16644 | The child's Aadhaar card has not been formed | 0.931
,,,,,,16652 | Due to lack of Aadhar card | 1
,,,,,,"16674 | Due to lack of Aadhaar card, children are not able to go to school. | 0.9353"
,,,,,,16714 | Child does not have Aadhar Card | 0.9425
,,,,,,16715 | The child does not have an Aadhaar card | 1
,,,,,,16728 | Some children do not have Aadhar card | 0.9344
,,,,,,16756 | Due to lack of Aadhar card | 1
,,,,,,16761 | Due to lack of Aadhar card | 1
,,,,,,16762 | Due to lack of Aadhar card | 1
,,,,,,16776 | Due to lack of Aadhar card | 1
,,,,,,16779 | Due to lack of Aadhar card | 1
,,,,,,16786 | Children drop out of school due to lack of Aadhaar card | 0.9057
,,,,,,16795 | Aadhaar card is not generated for children. | 0.9126
,,,,,,16798 | Children are not getting enrolled in school due to lack of Aadhaar card. | 0.9499
,,,,,,16800 | Children do not have Aadhaar | 0.9355
,,,,,,16803 | Children are unable to enroll in school because they do not have Aadhaar cards. | 0.9796
,,,,,,16804 | Due to lack of Aadhar card | 1
,,,,,,16818 | Due to lack of Aadhar card | 1
,,,,,,16831 | Due to lack of Aadhar card | 1
,,,,,,16848 | Two children do not have Aadhaar card | 0.9351
,,,,,,16850 | Two children did not have Aadhaar card | 0.9536
,,,,,,16868 | Children are not getting admission in school due to lack of Aadhar Card. | 0.9448
,,,,,,16874 | Two children have not been enrolled due to lack of Aadhaar card. | 0.9022
,,,,,,16899 | Children are denied access to school due to lack of Aadhaar cards. | 0.9213
,,,,,,16900 | Due to lack of Aadhar card | 1
,,,,,,16904 | Many children do not have Aadhaar cards. | 0.9887
,,,,,,16918 | The child is not getting admission in school due to lack of Aadhar Card. | 0.9089
,,,,,,16929 | Due to lack of Aadhar card | 1
,,,,,,"16987 | Many children do not have Aadhaar cards, which is why they are not admitted to school. | 0.9554"
,,,,,,17036 | Children do not have Aadhaar card | 1
,,,,,,17045 | Many children are unable to go to school because they do not have an Aadhaar card. | 0.9605
,,,,,,"17069 | Many children do not have Aadhaar cards, which is why they are not enrolled in school. | 0.9774"
,,,,,,17085 | Children are not admitted to school due to lack of Aadhaar card. | 0.956
,,,,,,17108 | Children's education is disrupted due to lack of Aadhaar card | 0.9373
,,,,,,17213 | There has been a discussion about children who do not have Aadhaar cards | 0.9713
,,,,,,17226 | The problem of children being deprived of school due to Aadhar card | 0.9014
,,,,,,17275 | Due to lack of Aadhar card | 1
,,,,,,17282 | The community is facing the challenge of children not getting enrolled in school due to lack of Aadhar cards. | 0.9513
,,,,,,17314 | Aadhaar card of children is not made | 0.9104
,,,,,,17347 | Due to lack of Aadhar card | 1
,,,,,,"17385 | Many children do not have Aadhar Card, due to which they are not admitted in school | 0.9307"
,,,,,,17386 | Children were unable to get admission in the school due to lack of Aadhar card | 0.9428
,,,,,,"17413 | Due to lack of Aadhar card, children are not able to go to school. | 0.9082"
,,,,,,"17422 | Due to lack of birth certificate, children’s Aadhaar cards are not being made and they are not able to get admission in any school. | 0.9348"
,,,,,,17447 | Children are unable to go to school due to lack of Aadhaar card. | 0.9661
,,,,,,17463 | The child is not enrolled in school due to lack of Aadhaar card | 0.915
,,,,,,17496 | Some children are unable to attend school because they do not have an Aadhar card. | 0.9396
,,,,,,17528 | A girl child is unable to enroll in school because she does not have an Aadhaar card. | 0.9057
,,,,,,17529 | A child is not getting enrolled due to lack of Aadhaar card | 0.9114
,,,,,,17562 | 10 children were not enrolled in school due to lack of Aadhaar cards. | 0.9147
,,,,,,17567 | 5 children were not enrolled in school due to lack of Aadhaar cards. | 0.9161
,,,,,,17598 | Children are unable to go to school due to lack of Aadhaar card. | 0.9661
,,,,,,17631 | Children do not go to school because they do not have an Aadhaar card. | 0.9645
,,,,,,"17656 | Many children do not have Aadhaar cards, due to which they are not getting enrolled. | 0.9645"
,,,,,,"17674 | Due to lack of Aadhar card, children are not able to get admission in school. | 0.9007"
,,,,,,17683 | Many children do not have Aadhar card due to which they have not been enrolled in school. | 0.9073
,,,,,,"17683 | Many children do not even have birth certificates. Therefore, there is a problem in getting Aadhaar card made. | 0.9006"
,,,,,,"17692 | Due to lack of Aadhar Card, children are not getting admission in school and those children who go are sent back. | 0.9173"
,,,,,,17705 | A child was not enrolled in school due to lack of Aadhaar card. | 0.9214
,,,,,,17723 | Lack of Aadhaar card hinders children's education | 0.9227
,,,,,,17725 | Children are unable to get Aadhaar card | 0.9371
,,,,,,17731 | Children do not go to school because they do not have an Aadhaar card. | 0.9645
,,,,,,17742 | Children do not go to school because they do not have Aadhaar cards. | 0.9634
,,,,,,"17781 | Due to lack of Aadhar card, children are not able to get admission in school for education. | 0.9075"
,,,,,,"17788 | Aadhar cards of children are not being made and due to non-availability of birth certificate, they are not being enrolled in school | 0.9208"
,,,,,,"17800 | Due to lack of Aadhar card, children are not able to get admission in school. | 0.9007"
