Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no aadhaar,no adhar,aadhar card not made,no birth certificate,lack of Aadhar card,no ID,no id proof,no legal document,no identity proof,enrollment barriers,admission refused,adhar,aadhaar,certificate not made,document pending,lack aadhar,having aadhar,birth certificate,unable study,Aadhaar card errors,date of birth missing,name mismatch,no birth date,birth certificate pending,enrollment blocked,documents not accepted,UID not made,government ID,aadhar errors,aadhaar update,not enrolled due to document,admission refused without document,no documents for school,identity not proven,date of birth not recorded,certificate not available,proper documentation,caste certificate,residence certificate,child registration,non enrolment,wrong name",Approved,217,29294 | To help people get their Aadhar cards made | 0.7711
,,,,,,15273 | To facilitate school enrollment by assisting children and parents in obtaining Aadhar cards | 0.8786
,,,,,,19829 | To ensure accurate identification and enrollment of children in school by correcting their names in the Aadhar card | 0.7843
,,,,,,"4250 | To provide Aadhaar related information and help in getting Aadhaar made for children, and to enroll them in school | 0.7551"
,,,,,,20754 | To improve education in Sariya Gaanv by addressing the issue of enrollment due to Aadhar card problems | 0.7597
,,,,,,"29307 | To increase awareness about the importance of education and essential documents like Aadhaar cards and birth certificates, and to help children access these services, enabling them to attend school regularly. | 0.7496"
,,,,,,4116 | To help children get their Aadhar cards corrected and enrolled in school | 0.8622
,,,,,,3965 | To facilitate school admission for children without Aadhar cards by creating the necessary documents and providing support to their parents. | 0.8207
,,,,,,"3921 | To enroll children in school by obtaining Aadhar cards, ensuring access to education and government facilities | 0.8841"
,,,,,,3998 | To improve school enrollment by addressing the issue of missing date of birth in TC and Aadhar cards | 0.7812
,,,,,,3932 | To help children get enrolled and receive government benefits by making Aadhaar cards | 0.809
,,,,,,15758 | To ensure Sandesh Kumar can attend school regularly by obtaining an Aadhar card | 0.7152
,,,,,,20962 | To correct names in Aadhar cards to enable children to get admitted to school and receive education | 0.8023
,,,,,,15359 | To enable children to attend school by obtaining an Aadhar card | 0.8851
,,,,,,4257 | To facilitate the creation of Aadhaar cards for children in the community by addressing the issue of non-residence status | 0.795
,,,,,,28427 | To facilitate school admission and government scheme benefits by generating Aadhar cards for students | 0.818
,,,,,,"28429 | To facilitate school admission by creating Aadhaar cards for villagers, particularly focusing on the benefits of government schemes and the importance of Aadhaar cards for educational purposes. | 0.7505"
,,,,,,28430 | To improve Aadhar card enrollment in the community by providing information on where and how to get the Aadhar card made | 0.7091
,,,,,,28460 | To enroll children in school who were unable to do so due to lack of Aadhaar card | 0.9093
,,,,,,28473 | To improve education by enrolling children in school through Aadhar card registration | 0.8881
,,,,,,29271 | To help children get Aadhar cards so they can get admission to school | 0.8685
,,,,,,29387 | To help Ankit Kumar get his Aadhaar card made by obtaining a birth certificate | 0.7395
,,,,,,32206 | To improve education in the community by encouraging parents to obtain birth certificates and Aadhaar cards for their children | 0.7638
,,,,,,29707 | To improve education by ensuring children have Aadhar cards and attend school regularly | 0.8638
,,,,,,34466 | To improve education in Rohtas by addressing the issue of disruption in education due to illness and lack of Aadhaar cards | 0.7233
,,,,,,"30968 | To improve education by helping students obtain Aadhaar cards, which are required for school enrollment | 0.8315"
,,,,,,"30858 | To address the issue of children dropping out of school due to lack of Aadhaar card and date of birth, and to promote education as a means to prevent child labour and child marriage | 0.8022"
,,,,,,31774 | To ensure all children have Aadhar cards and birth certificates to facilitate their education | 0.8311
,,,,,,40497 | To enroll 17 children without Aadhaar cards in school and ensure they receive education | 0.8676
,,,,,,40397 | To enroll children in school and provide them with necessary documents like Aadhar card and birth certificate | 0.8244
,,,,,,32178 | To enable children to attend school by obtaining necessary documents such as birth certificates and Aadhaar cards | 0.8035
,,,,,,40468 | To improve regular school attendance by addressing the issue of missing Aadhaar cards | 0.8259
,,,,,,"30869 | To ensure all children have access to education by facilitating the acquisition of Aadhaar cards, which are necessary for school admission | 0.8582"
,,,,,,31045 | To increase school enrollment by addressing the issue of Aadhar card requirements | 0.8747
550e8400-e29b-41d4-a716-446655440003,Early Marriage,"This theme captures responses where child marriage or early marriage prevents girls from continuing their education. It includes situations where early marriage leads to school dropout, limits learning opportunities, or shifts responsibilities toward household duties instead of schooling.","Child marriage,marriage,early marriage,shadi,vivah,baal vivah,underage marriage,married off,got married young,left school after marriage,nikah,banning child marriage,marriage girls,run away,ban child marriage,married after,girls should,preventing child marriage,marriage before 18,underage marriage,minor married,married in childhood,marriage at 14,marriage at 15,married before school complete,dropout after marriage,forced to marry,marriage arranged young,married off early,engagement of minor,nikah at young age,early nikah,married off daughters early,girls withdrawn for marriage,marry after 18,married class 8, adolescent marriage,forced marriage",Approved,92,28523 | To educate girls and avoid child marriage | 0.7725
,,,,,,28535 | To encourage girls to pursue education and prevent child marriage | 0.8045
,,,,,,28608 | To empower adolescent girls through education and prevent child marriage | 0.7421
,,,,,,14941 | To educate girls and stop early marriage | 0.7217
,,,,,,40699 | To prevent child marriage and promote education among boys and girls in the village | 0.7133
,,,,,,40799 | To empower girls through education and reduce child marriage | 0.7166
,,,,,,40865 | To prevent child marriage and promote education among teenage girls | 0.7838
,,,,,,40885 | To educate parents about the importance of education and prevent child marriage | 0.8056
,,,,,,40921 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,4142 | To address the issue of girls not attending school and child marriage in the community | 0.7451
,,,,,,41043 | To educate girls about the importance of education and the negative impacts of child marriage | 0.7924
,,,,,,"41101 | To address the issue of girls dropping out of school due to lack of information and understanding among parents, and to promote self-reliance through education | 0.7355"
,,,,,,41176 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,41184 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,5905 | To address the issue of child marriage and encourage girls to stay in school | 0.8021
,,,,,,4156 | To educate girls who had dropped out of school due to various reasons | 0.7084
,,,,,,41267 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,41268 | To empower girls through education and reduce child marriage | 0.7166
,,,,,,40543 | To educate girls and prevent child marriage | 0.7192
,,,,,,41430 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,41452 | To educate the girl child and prevent child marriage | 0.7101
,,,,,,28629 | To educate girls about the importance of education and the disadvantages of early marriage | 0.8074
,,,,,,49009 | To stop child marriage and promote education for girls | 0.8177
,,,,,,49028 | To educate parents about the importance of girls' education and to stop child marriage | 0.7829
,,,,,,49026 | To encourage girls to study and not get married at a young age | 0.7751
,,,,,,5803 | To educate girls and prevent child marriage | 0.7192
,,,,,,4254 | To raise awareness against child marriage and promote education among girls | 0.7575
,,,,,,8037 | To encourage girls to continue their education and not drop out of school | 0.764
,,,,,,28720 | To create awareness about the negative impacts of child marriage among children and to encourage them to report such cases. | 0.7235
,,,,,,16488 | To educate girls who dropped out of school after studying till the fifth grade | 0.7379
,,,,,,7598 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,6648 | To address the issue of girls dropping out of school due to distance and lack of access to nearby colleges | 0.7119
,,,,,,28744 | To create awareness among children about the problems caused by child marriage and to prevent it | 0.7418
,,,,,,28752 | To stop child marriage in the village | 0.7577
,,,,,,"8368 | To ensure all girls in the community attend school and receive an education, addressing the issue of girls being deprived of education and married before the age of 18 | 0.7502"
,,,,,,8530 | To ensure girls attend school regularly and delay marriage until the age of 18 | 0.7437
,,,,,,16474 | To prevent child marriage by educating children and their parents about its negative consequences and promoting self-reliance | 0.7497
,,,,,,15046 | To create awareness about education and curb child marriage | 0.7501
,,,,,,10450 | To encourage girls to attend school and prevent child marriage | 0.7726
,,,,,,10397 | To reduce early marriage and promote education among girls in the community | 0.7887
,,,,,,10470 | To prevent child marriage by educating parents and adolescents about its negative consequences and promoting vocational training for adolescent empowerment | 0.7291
,,,,,,4205 | To prevent child marriage and encourage girls to pursue their education by engaging grandparents and the community | 0.7253
,,,,,,12586 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,28792 | To create awareness about the importance of education for girls and the legal consequences of child marriage | 0.752
,,,,,,4196 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,"15053 | To educate parents about the importance of education for girls and the legal consequences of child marriage, and to encourage them to support their daughters | 0.7086"
,,,,,,10437 | To stop child marriage and promote education | 0.8296
,,,,,,16260 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,23288 | To improve school safety and education for girls by building a boundary and promoting education over early marriage | 0.7227
,,,,,,27237 | To empower women and children through education and prevent child marriage | 0.7209
,,,,,,7875 | To solve the problem of child marriage in the village | 0.7867
,,,,,,13909 | To educate and raise awareness about the negative impacts of child marriage among the community | 0.7962
,,,,,,8540 | To create awareness about the negative effects of child marriage and promote education among girls | 0.7754
,,,,,,13443 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,3985 | To create awareness about the importance of higher education for girls and the harmful effects of child marriage and mismatched marriages | 0.739
,,,,,,13917 | To educate children about the problems caused by child marriage and promote awareness | 0.7431
,,,,,,4259 | To encourage girls to pursue education and delay marriage | 0.7784
,,,,,,4262 | To empower girls and prevent child marriage through education and awareness | 0.7044
,,,,,,28820 | To educate girls and delay their marriage until they are 18 years old | 0.705
,,,,,,8075 | To create awareness about child marriage in schools | 0.7584
,,,,,,18242 | To improve education by engaging the community and stopping child marriage | 0.8002
,,,,,,9387 | To raise awareness about the negative effects of child marriage and promote education as a means to prevent it | 0.7539
,,,,,,3854 | To increase the education of girls in the community by stopping child marriage | 0.7777
,,,,,,15277 | To resolve the problem of girls leaving school after fifth or eighth grade due to child marriage | 0.7797
,,,,,,15281 | To empower girls through education and prevent child marriage | 0.7284
